type,latitude,longitude,altitude (m),name,desc,kml_folder
T,42.327415344,-83.048191896,182.8,Detroit SEM,,Detroit.kml
T,42.327434632,-83.048207844,182.7,,,
T,42.327454621,-83.048224133,182.6,,,
T,42.327474734,-83.048240595,182.5,,,
T,42.327493241,-83.048255025,182.4,,,
T,42.327511280,-83.048268042,182.4,,,
T,42.327532503,-83.048286221,182.3,,,
T,42.327549471,-83.048300607,182.2,,,
T,42.327565211,-83.048313379,182.1,,,
T,42.327580067,-83.048324938,182.0,,,
T,42.327594441,-83.048336163,181.9,,,
T,42.327608315,-83.048346138,181.9,,,
T,42.327626194,-83.048359845,181.8,,,
T,42.327641496,-83.048371215,181.7,,,
T,42.327654838,-83.048382056,181.7,,,
T,42.327664279,-83.048388890,181.6,,,
T,42.327674760,-83.048396863,181.6,,,
T,42.327686182,-83.048405778,181.6,,,
T,42.327697081,-83.048414007,181.5,,,
T,42.327708660,-83.048423646,181.5,,,
T,42.327719744,-83.048432003,181.4,,,
T,42.327731739,-83.048441518,181.3,,,
T,42.327744336,-83.048451726,181.2,,,
T,42.327756027,-83.048460435,181.2,,,
T,42.327766379,-83.048468139,181.1,,,
T,42.327777032,-83.048476066,181.0,,,
T,42.327788758,-83.048484799,180.9,,,
T,42.327801260,-83.048494935,180.9,,,
T,42.327816245,-83.048505279,180.8,,,
T,42.327828003,-83.048514906,180.7,,,
T,42.327843814,-83.048526705,180.6,,,
T,42.327856593,-83.048536239,180.5,,,
T,42.327871455,-83.048547332,180.5,,,
T,42.327885666,-83.048557556,180.4,,,
T,42.327898800,-83.048566596,180.3,,,
T,42.327913634,-83.048576720,180.2,,,
T,42.327926393,-83.048585423,180.2,,,
T,42.327943164,-83.048596869,180.2,,,
T,42.327960105,-83.048607530,180.1,,,
T,42.327972689,-83.048614979,180.1,,,
T,42.327986275,-83.048623027,180.1,,,
T,42.327998739,-83.048630593,180.1,,,
T,42.328012315,-83.048638815,180.1,,,
T,42.328025373,-83.048647778,180.1,,,
T,42.328038961,-83.048656763,180.1,,,
T,42.328054568,-83.048666667,180.1,,,
T,42.328069682,-83.048675437,180.1,,,
T,42.328084071,-83.048683887,180.1,,,
T,42.328097290,-83.048692730,180.1,,,
T,42.328111412,-83.048702042,180.1,,,
T,42.328124898,-83.048711153,180.1,,,
T,42.328137569,-83.048719281,180.1,,,
T,42.328151194,-83.048728379,180.1,,,
T,42.328164017,-83.048736301,180.1,,,
T,42.328178662,-83.048746382,180.1,,,
T,42.328194879,-83.048757257,180.1,,,
T,42.328208857,-83.048766561,180.2,,,
T,42.328225067,-83.048776996,180.2,,,
T,42.328240294,-83.048787106,180.2,,,
T,42.328255396,-83.048797147,180.2,,,
T,42.328269908,-83.048805982,180.3,,,
T,42.328284544,-83.048815691,180.3,,,
T,42.328296092,-83.048823916,180.3,,,
T,42.328308635,-83.048832355,180.3,,,
T,42.328320438,-83.048839962,180.3,,,
T,42.328335162,-83.048850790,180.4,,,
T,42.328348605,-83.048859754,180.4,,,
T,42.328363913,-83.048869949,180.4,,,
T,42.328380076,-83.048880921,180.4,,,
T,42.328395638,-83.048890263,180.4,,,
T,42.328409374,-83.048899525,180.4,,,
