type,latitude,longitude,altitude (m),name,desc,kml_folder
T,39.793532707,-86.238874317,221.9,Untitled Path,,Indy.kml
T,39.793554479,-86.238875230,221.9,,,
T,39.793571833,-86.238875459,222.0,,,
T,39.793587824,-86.238876597,222.0,,,
T,39.793599398,-86.238876870,222.0,,,
T,39.793611434,-86.238877565,222.1,,,
T,39.793623871,-86.238877914,222.1,,,
T,39.793636804,-86.238878628,222.1,,,
T,39.793650229,-86.238879374,222.2,,,
T,39.793664133,-86.238879733,222.2,,,
T,39.793676651,-86.238879652,222.2,,,
T,39.793690440,-86.238880774,222.3,,,
T,39.793703535,-86.238881122,222.3,,,
T,39.793719507,-86.238881546,222.3,,,
T,39.793732155,-86.238881438,222.4,,,
T,39.793745557,-86.238881404,222.4,,,
T,39.793758222,-86.238881722,222.4,,,
T,39.793770152,-86.238882021,222.4,,,
T,39.793780316,-86.238882295,222.4,,,
T,39.793791929,-86.238882587,222.4,,,
T,39.793802351,-86.238882862,222.4,,,
T,39.793812860,-86.238883126,222.4,,,
T,39.793824773,-86.238883794,222.4,,,
T,39.793834867,-86.238884055,222.4,,,
T,39.793845298,-86.238884324,222.4,,,
T,39.793857644,-86.238884259,222.4,,,
T,39.793866924,-86.238884491,222.4,,,
T,39.793876661,-86.238884736,222.5,,,
T,39.793887879,-86.238885031,222.5,,,
T,39.793897888,-86.238885282,222.5,,,
T,39.793908015,-86.238885153,222.5,,,
T,39.793921025,-86.238885470,222.5,,,
T,39.793931912,-86.238886144,222.5,,,
T,39.793942495,-86.238886410,222.5,,,
T,39.793954767,-86.238886718,222.5,,,
T,39.793967112,-86.238886210,222.5,,,
T,39.793981424,-86.238886666,222.5,,,
T,39.793993099,-86.238886941,222.5,,,
T,39.794005011,-86.238886833,222.5,,,
T,39.794016747,-86.238887100,222.5,,,
T,39.794029334,-86.238887386,222.5,,,
T,39.794041463,-86.238887791,222.5,,,
T,39.794052030,-86.238888033,222.5,,,
T,39.794061630,-86.238888252,222.5,,,
T,39.794073827,-86.238888528,222.5,,,
T,39.794084690,-86.238888564,222.5,,,
T,39.794097106,-86.238888836,222.5,,,
T,39.794107755,-86.238889071,222.5,,,
T,39.794119086,-86.238889322,222.5,,,
T,39.794130179,-86.238889567,222.6,,,
T,39.794143070,-86.238889946,222.6,,,
T,39.794155952,-86.238890232,222.6,,,
T,39.794168431,-86.238890919,222.6,,,
T,39.794184801,-86.238891291,222.6,,,
T,39.794198080,-86.238891838,222.6,,,
T,39.794211703,-86.238892145,222.6,,,
T,39.794223506,-86.238893181,222.6,,,
T,39.794235426,-86.238893862,222.6,,,
T,39.794247753,-86.238894172,222.6,,,
T,39.794259947,-86.238894478,222.6,,,
T,39.794274051,-86.238895220,222.6,,,
T,39.794287421,-86.238895935,222.6,,,
T,39.794303458,-86.238896744,222.6,,,
T,39.794321731,-86.238897560,222.6,,,
T,39.794338429,-86.238898485,222.7,,,
T,39.794354849,-86.238899444,222.7,,,
T,39.794370811,-86.238900330,222.7,,,
T,39.794391374,-86.238900961,222.7,,,
T,39.794410222,-86.238901260,222.7,,,
T,39.794429332,-86.238901939,222.7,,,
T,39.794450221,-86.238902607,222.7,,,
T,39.794471596,-86.238902921,222.7,,,
T,39.794489928,-86.238903206,222.7,,,
T,39.794510577,-86.238903748,222.7,,,
T,39.794530860,-86.238903689,222.7,,,
T,39.794555806,-86.238904698,222.7,,,
T,39.794574469,-86.238904979,222.7,,,
T,39.794602376,-86.238905899,222.7,,,
T,39.794626327,-86.238906003,222.7,,,
T,39.794653639,-86.238906929,222.7,,,
T,39.794686018,-86.238906333,222.8,,,
T,39.794710162,-86.238907042,222.8,,,
T,39.794738358,-86.238907416,222.8,,,
T,39.794761336,-86.238908172,222.8,,,
T,39.794791485,-86.238909135,222.8,,,
T,39.794816174,-86.238909896,222.8,,,
T,39.794846383,-86.238910683,222.8,,,
T,39.794876937,-86.238911562,222.8,,,
T,39.794901675,-86.238911856,222.8,,,
T,39.794931667,-86.238912088,222.8,,,
T,39.794968334,-86.238913240,222.8,,,
T,39.795003249,-86.238914242,222.8,,,
T,39.795041729,-86.238914999,222.8,,,
T,39.795077204,-86.238914692,222.9,,,
T,39.795112246,-86.238915067,222.9,,,
T,39.795156506,-86.238915609,222.9,,,
T,39.795201156,-86.238916300,222.9,,,
T,39.795239996,-86.238917011,222.9,,,
T,39.795279819,-86.238917614,223.0,,,
T,39.795321171,-86.238918798,223.0,,,
T,39.795359720,-86.238919150,223.0,,,
T,39.795398090,-86.238920288,223.0,,,
T,39.795432693,-86.238921526,223.1,,,
T,39.795467168,-86.238922521,223.1,,,
T,39.795506726,-86.238924046,223.1,,,
T,39.795544060,-86.238925226,223.1,,,
T,39.795576893,-86.238927063,223.2,,,
T,39.795613117,-86.238929487,223.2,,,
T,39.795652446,-86.238931680,223.2,,,
T,39.795693639,-86.238931622,223.3,,,
T,39.795731535,-86.238933029,223.3,,,
T,39.795769499,-86.238934888,223.3,,,
