type,latitude,longitude,altitude (m),name,desc,kml_folder
T,39.793507684,-86.238874628,221.8,Untitled Path,,indyPartial.kml
T,39.793526948,-86.238874569,221.9,,,
T,39.793545751,-86.238875089,221.9,,,
T,39.793564956,-86.238875616,222.0,,,
T,39.793583971,-86.238875460,222.0,,,
T,39.793603064,-86.238875950,222.1,,,
T,39.793620951,-86.238876417,222.1,,,
T,39.793642477,-86.238876960,222.1,,,
T,39.793660993,-86.238877492,222.2,,,
T,39.793679055,-86.238877982,222.2,,,
T,39.793700520,-86.238878522,222.3,,,
T,39.793719930,-86.238879157,222.3,,,
T,39.793740860,-86.238879927,222.4,,,
T,39.793765709,-86.238880841,222.4,,,
T,39.793789531,-86.238881764,222.4,,,
T,39.793814853,-86.238883196,222.4,,,
T,39.793836277,-86.238884852,222.4,,,
T,39.793858980,-86.238886129,222.4,,,
T,39.793881006,-86.238886951,222.4,,,
T,39.793904160,-86.238887790,222.5,,,
T,39.793926747,-86.238889006,222.5,,,
T,39.793943051,-86.238889626,222.5,,,
T,39.793958542,-86.238890837,222.5,,,
T,39.793975401,-86.238892155,222.5,,,
T,39.793993139,-86.238893242,222.5,,,
T,39.794011652,-86.238894364,222.5,,,
T,39.794030704,-86.238895491,222.5,,,
T,39.794052972,-86.238896256,222.5,,,
T,39.794081089,-86.238896553,222.5,,,
T,39.794103893,-86.238897496,222.5,,,
T,39.794129376,-86.238898486,222.5,,,
T,39.794151147,-86.238899465,222.6,,,
T,39.794178872,-86.238899934,222.6,,,
T,39.794206383,-86.238901067,222.6,,,
T,39.794231034,-86.238901563,222.6,,,
T,39.794254434,-86.238902818,222.6,,,
T,39.794301174,-86.238904239,222.6,,,
T,39.794335305,-86.238905772,222.6,,,
T,39.794363278,-86.238907458,222.7,,,
T,39.794398797,-86.238909359,222.7,,,
T,39.794428438,-86.238912187,222.7,,,
T,39.794463194,-86.238914292,222.7,,,
T,39.794499939,-86.238917188,222.7,,,
T,39.794545105,-86.238919974,222.7,,,
T,39.794577792,-86.238921157,222.7,,,
T,39.794609365,-86.238923735,222.7,,,
T,39.794643293,-86.238925760,222.7,,,
T,39.794677671,-86.238926695,222.7,,,
T,39.794710388,-86.238929476,222.7,,,
T,39.794741113,-86.238931221,222.7,,,
T,39.794773541,-86.238931961,222.7,,,
T,39.794802786,-86.238934695,222.8,,,
T,39.794837008,-86.238936491,222.8,,,
T,39.794859183,-86.238937808,222.8,,,
T,39.794885158,-86.238939767,222.8,,,
T,39.794911712,-86.238941789,222.8,,,
T,39.794937062,-86.238943245,222.8,,,
T,39.794966490,-86.238944465,222.8,,,
T,39.794998068,-86.238947323,222.8,,,
T,39.795035509,-86.238949007,222.8,,,
T,39.795066429,-86.238950102,222.8,,,
T,39.795099137,-86.238951860,222.8,,,
T,39.795126749,-86.238953905,222.8,,,
T,39.795157216,-86.238955477,222.9,,,
T,39.795182994,-86.238956337,222.9,,,
T,39.795209925,-86.238957140,222.9,,,
T,39.795235582,-86.238959242,222.9,,,
T,39.795267744,-86.238960290,222.9,,,
T,39.795297695,-86.238960308,222.9,,,
T,39.795332023,-86.238960464,223.0,,,
T,39.795369142,-86.238963172,223.0,,,
T,39.795402869,-86.238963285,223.0,,,
T,39.795441696,-86.238966508,223.0,,,
T,39.795478833,-86.238967306,223.1,,,
T,39.795517068,-86.238967995,223.1,,,
T,39.795551319,-86.238968253,223.1,,,
T,39.795584408,-86.238970424,223.2,,,
T,39.795617583,-86.238971848,223.2,,,
T,39.795649994,-86.238973318,223.2,,,
T,39.795686594,-86.238973841,223.3,,,
T,39.795730723,-86.238976649,223.3,,,
T,39.795771484,-86.238978000,223.3,,,
T,39.795811190,-86.238978196,223.4,,,
T,39.795847040,-86.238978425,223.4,,,
T,39.795876602,-86.238979530,223.4,,,
T,39.795907060,-86.238981474,223.4,,,
T,39.795935840,-86.238982157,223.4,,,
T,39.795966061,-86.238981651,223.4,,,
T,39.795997989,-86.238982049,223.5,,,
T,39.796031634,-86.238982137,223.5,,,
T,39.796071349,-86.238983222,223.5,,,
T,39.796104878,-86.238984941,223.5,,,
T,39.796143708,-86.238986795,223.5,,,
T,39.796181927,-86.238987416,223.5,,,
T,39.796224339,-86.238988018,223.5,,,
T,39.796263659,-86.238988609,223.6,,,
T,39.796302571,-86.238991312,223.6,,,
T,39.796347882,-86.238991269,223.6,,,
T,39.796395478,-86.238993007,223.6,,,
T,39.796434739,-86.238992698,223.6,,,
T,39.796474287,-86.238994079,223.6,,,
T,39.796511697,-86.238994029,223.7,,,
T,39.796543759,-86.238994565,223.7,,,
T,39.796576245,-86.238993889,223.7,,,
T,39.796614170,-86.238995565,223.7,,,
T,39.796644633,-86.238995091,223.7,,,
T,39.796682683,-86.238995229,223.7,,,
T,39.796714396,-86.238995849,223.7,,,
T,39.796745479,-86.238996331,223.7,,,
T,39.796773538,-86.238997648,223.7,,,
T,39.796800405,-86.238998828,223.8,,,
T,39.796824665,-86.238999773,223.6,,,
